output_protocol,component,model,cutoff_percent,n,exact_match,token_f1,sentencebert
oa_om,output,qwen_base,85,265,0.2528301886792453,0.8873667268284082,0.9374262805254954
oa_om,output,qwen_base,95,265,0.2830188679245283,0.8903916651664766,0.9378829463472906
oa_om,output,gpt4o,all,1590,0.18050314465408804,0.8108934829822667,0.8768166350306205
oa_om,output,gpt4o,25,265,0.1320754716981132,0.7504012164058731,0.8189106757910747
oa_om,output,gpt4o,40,265,0.15471698113207547,0.7832048203002483,0.8479671210612891
oa_om,output,gpt4o,55,265,0.19245283018867926,0.8218335193027745,0.8831377175619017
oa_om,output,gpt4o,70,265,0.19245283018867926,0.8222028302837608,0.8894959751165138
oa_om,output,gpt4o,85,265,0.21509433962264152,0.837424212336228,0.9043345503087313
oa_om,output,gpt4o,95,265,0.19622641509433963,0.8502942992647153,0.9170537703442123
oa_om,output,luna,all,1590,0.15786163522012578,0.8379254252902395,0.8990979110107482
oa_om,output,luna,25,265,0.1018867924528302,0.7843588733366894,0.8656240161859764
oa_om,output,luna,40,265,0.13962264150943396,0.8156132544609679,0.8840485683027304
oa_om,output,luna,55,265,0.16981132075471697,0.8536084418298372,0.908243505010065
oa_om,output,luna,70,265,0.17735849056603772,0.8495367058046457,0.9076999592331221
oa_om,output,luna,85,265,0.17735849056603772,0.8565093315815508,0.9106452259252656
oa_om,output,luna,95,265,0.1811320754716981,0.8679259447277463,0.9183261914073296
oa_om,action,tuned_qwen,all,1590,0.5710691823899371,0.8461073579275576,0.8731900301275763
oa_om,action,tuned_qwen,25,265,0.5509433962264151,0.8433810504454233,0.8613491748863796
oa_om,action,tuned_qwen,40,265,0.569811320754717,0.8469971537896066,0.8712696587702013
oa_om,action,tuned_qwen,55,265,0.5735849056603773,0.8478998150696264,0.8761668240686633
oa_om,action,tuned_qwen,70,265,0.569811320754717,0.8464499965443362,0.8763854624527805
oa_om,action,tuned_qwen,85,265,0.5962264150943396,0.8492804969109076,0.8795307532234012
oa_om,action,tuned_qwen,95,265,0.5660377358490566,0.8426356348054461,0.8744383073640319
oa_om,action,qwen_base,all,1590,0.6018867924528302,0.8450822203652393,0.8908351776125671
oa_om,action,qwen_base,25,265,0.44528301886792454,0.7293161136557363,0.8108314818368768
oa_om,action,qwen_base,40,265,0.5132075471698113,0.7942816931496177,0.8635090233020063
oa_om,action,qwen_base,55,265,0.5962264150943396,0.8490298799732762,0.8996369738342627
oa_om,action,qwen_base,70,265,0.6377358490566037,0.8807273020480567,0.9109199815763618
oa_om,action,qwen_base,85,265,0.7056603773584905,0.9070578478125648,0.930343936580532
oa_om,action,qwen_base,95,265,0.7132075471698113,0.9100804855521837,0.9297696685453631
